Model,Imputer,int_auc,int_lo,int_hi,int_sens,int_spec,ext_auc,ext_lo,ext_hi,ext_sens,ext_spec,ext_balacc,ext_prauc,seed_mean,seed_sd,seed_min,seed_max,n_seeds
CGM Model,KNN (k=3),0.78,0.59,0.97,0.7,1.0,0.885,0.781,0.989,0.789,0.833,0.811,0.831,0.872,0.014,0.856,0.906,15
CGM Model,KNN (k=5),0.795,0.61,0.98,0.6,0.95,0.88,0.774,0.986,0.789,0.833,0.811,0.824,0.865,0.019,0.83,0.9,15
CGM Model,KNN (k=7),0.785,0.597,0.973,0.7,0.9,0.878,0.772,0.985,0.842,0.857,0.849,0.811,0.862,0.018,0.826,0.907,15
CGM Model,MICE,0.81,0.63,0.99,0.5,0.95,0.882,0.777,0.987,0.842,0.833,0.837,0.819,0.854,0.016,0.83,0.881,15
Smartwatch Model,KNN (k=3),0.855,0.694,1.0,0.7,0.8,0.833,0.711,0.955,0.842,0.786,0.814,0.698,0.825,0.014,0.798,0.841,15
Smartwatch Model,KNN (k=5),0.86,0.701,1.0,0.7,0.8,0.836,0.715,0.957,0.842,0.786,0.814,0.717,0.827,0.012,0.81,0.85,15
Smartwatch Model,KNN (k=7),0.86,0.701,1.0,0.7,0.8,0.833,0.711,0.955,0.842,0.786,0.814,0.701,0.823,0.013,0.796,0.845,15
Smartwatch Model,MICE,0.87,0.716,1.0,0.7,0.8,0.842,0.723,0.961,0.842,0.786,0.814,0.728,0.833,0.01,0.811,0.851,15
Baseline Model,KNN (k=3),0.825,0.651,0.999,0.7,0.75,0.738,0.595,0.882,0.789,0.667,0.728,0.577,0.744,0.011,0.716,0.761,15
Baseline Model,KNN (k=5),0.825,0.651,0.999,0.7,0.75,0.738,0.595,0.882,0.789,0.667,0.728,0.577,0.744,0.011,0.716,0.761,15
Baseline Model,KNN (k=7),0.825,0.651,0.999,0.7,0.75,0.738,0.595,0.882,0.789,0.667,0.728,0.577,0.744,0.011,0.716,0.761,15
Baseline Model,MICE,0.825,0.651,0.999,0.7,0.75,0.738,0.595,0.882,0.789,0.667,0.728,0.577,0.744,0.011,0.716,0.761,15
